time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-04-11T03:59:53.880Z,52.1161,153.056,429.12,4.7,mb,,99,2.999,0.76,us,us200025t4,2015-04-11T12:02:35.516Z,"248km WNW of Ozernovskiy, Russia",earthquake
2015-04-11T03:49:47.260Z,35.495,-84.9895,13.55,2.62,md,25,55,0.08374,0.15,se,se60097601,2015-04-11T12:42:18.342Z,"2km E of Dayton, Tennessee",earthquake
2015-04-11T02:43:46.700Z,19.0065,-67.306,14,2.6,Md,3,334.8,0.56593863,0.15,pr,pr15101002,2015-04-11T10:46:26.534Z,"60km NNW of San Antonio, Puerto Rico",earthquake
2015-04-11T02:08:40.600Z,18.9745,-64.7255,34,2.8,Md,3,338.4,0.84800963,0.25,pr,pr15101001,2015-04-11T10:11:13.799Z,"62km N of Road Town, British Virgin Islands",earthquake
2015-04-11T01:03:34.000Z,19.3653,-155.2027,3,2.7,Ml,,57.6,0.01796631,0.28,hv,hv60892151,2015-04-11T09:06:01.778Z,"8km SSE of Volcano, Hawaii",earthquake
2015-04-10T23:28:28.580Z,47.5546,-70.1913,8.23,2.7,mb_lg,,189,0.909,0.44,us,us200025w2,2015-04-12T03:20:06.149Z,"11km SSW of La Malbaie, Canada",earthquake
2015-04-10T22:54:49.830Z,-7.6544,127.5818,158.88,4.7,mb,,44,3.697,1.08,us,us200025sf,2015-04-11T06:57:48.385Z,"242km ENE of Dili, East Timor",earthquake
2015-04-10T20:53:31.340Z,-1.6795,135.3827,27.3,4.2,mb,,180,3.364,0.58,us,us200025s2,2015-04-11T14:24:39.590Z,"170km ESE of Manokwari, Indonesia",earthquake
2015-04-10T20:05:46.900Z,18.9514,-66.2191,28,2.8,Md,11,241.2,0.55605716,0.25,pr,pr15100004,2015-04-11T14:05:31.040Z,"54km N of Dorado, Puerto Rico",earthquake
2015-04-10T19:28:48.000Z,58.8716,-150.5193,33.8,2.7,ml,,,,0.91,ak,ak11550813,2015-04-11T03:31:15.091Z,"104km SE of Homer, Alaska",earthquake
2015-04-10T18:59:38.790Z,40.4336,-126.1572,19.89,4.7,mwr,,199,1.535,0.86,us,us200025qi,2015-04-11T13:59:10.453Z,"161km W of Ferndale, California",earthquake
